No,Kalimat,Kata Ambigu,Actual Sense
1,aku membaca buku tentang sejarah di perpustakaan,buku,"lembar kertas yang berjilid, berisi tulisan atau kosong; kitab"
2,Tebu itu mempunyai banyak buku,buku,"tempat pertemuan dua ruas (jari, buluh, tebu)"
3,pada teras di bawahnya terbentang taman yang luas,teras,bidang tanah datar yang miring; bidang tanah yang lebih tinggi daripada yang lain (biasanya ditumbuhi rumput)
4,pada irisan penampang kelihatan teras yang dikelilingi lingkaran-lingkaran kayu yang dapat menunjukkan umurnya,teras,bagian kayu yang keras; inti kayu
5,"bukan hanya pembangunan fisik yang diperhatikan, melainkan juga pembangunan mental",mental,"bersangkutan dengan batin dan watak manusia, yang bukan bersifat badan atau tenaga"
6,akibat tabrakan yang terjadi tubuh itu mental sekitar 2 meter,mental,terpelanting; terpental
7,"perkara mesin, dia lebih tahu daripada saya",tahu,"mengerti sesudah melihat (menyaksikan, mengalami, dan sebagainya)"
8,ayah membawa tahu sumedang saat pergi ke sumedang,tahu,"makanan dari kedelai putih yang digiling halus-halus, direbus, dan dicetak"
9,padi jangan ditanam terlalu rapat,rapat,"kerap (tentang tanaman, anyaman, dan sebagainya)"
10,kami mengadakan rapat di dalam ruangan,rapat,pertemuan (kumpulan) untuk membicarakan sesuatu; sidang; majelis
11,matahari terbenam menandakan malam telah tiba,malam,waktu setelah matahari terbenam hingga matahari terbit
12,ia kehabisan malam saat membatik,malam,lilin (dipakai untuk membatik)
13,dia mendapatkan bunga mawar merah yang harum dari penggemarnya,bunga,jenis untuk berbagai-bagai bunga
14,dia mendapatkan bunga bank atas jasa investasi modalnya,bunga,pendapatan atas setiap investasi modal
15,sepatu dengan hak tinggi sedang digemari oleh wanita karier,hak,telapak sepatu pada bagian tumit yang relatif tinggi
16,ia juga punya hak tinggal di sini,hak,kekuasaan yang benar atas sesuatu atau untuk menuntut sesuatu
17,"satu minggu ini, dia sudah empat kali datang ke rumahku",kali,kata untuk menyatakan kekerapan tindakan
18,ia melihat bebek berenang di kali,kali,sungai
19,ia mendapat gelar srikandi dari kawan-kawannya,gelar,julukan yang berhubungan dengan keadaan atau tabiat orang; sebutan
20,tolong gelar tikar itu,gelar,hampar
21,jarak antara Mekah dan Medinah kami tempuh dengan bus dalam 5 jam,jarak,ruang sela (panjang atau jauh) antara dua benda atau tempat
22,ia sedang mencari biji jarak,jarak,biji jarak
23,ia mendapat salam dari ayahnya,salam,pernyataan hormat; tabik
24,ia lupa memasukkan salam kemasakannya,salam,"tanaman termasuk suku Myrtaceae, pohonnya bertajuk lebat, tingginya mencapai 25 m, daunnya berbentuk bulat telur atau lonjong, berbau harum, biasanya digunakan sebagai bumbu masak"
25,hal ini sudah jamak terjadi,jamak,lazim; tidak aneh; lumrah; wajar
26,ia sedang menjamak salat,jamak,penggabungan (tentang salat wajib); antara salat Zuhur dan salat Asar atau salat Magrib dan salat Isya
27,roman wajahnya berubah menjadi sedih,roman,rupa muka; wajah
28,Film Roman Picisan adalah film drama percintaan Indonesia tahun 2018 yang disutradarai oleh Monty Tiwa,roman,(cerita) percintaan
29,buka buku pada halaman 50,halaman,"muka dari lembaran buku (majalah, surat kabar, dan sebagainya); pagina"
30,halaman rumahnya ditanami cemara,halaman,pekarangan rumah (sekolah dan sebagainya); tanah di sekitar rumah (sekolah dan sebagainya)
31,angin terjadi karena gerakan hawa,hawa,campuran berbagai-bagai gas yang meliputi bumi; udara
32,ia tidak dapat menahan hawa nafsunya,hawa,keinginan; nafsu
33,baik sanak keluarga maupun orang helat banyak yang hadir pada resepsi pernikahannya,helat,asing; lain; bukan keluarga
34,banyak tamu yang datang untuk meramaikan helat putri tunggalnya,helat,pesta perkawinan dan sebagainya
35,"hemat pangkal kaya, rajin pangkal pandai",hemat,"berhati-hati dalam membelanjakan uang, dan sebagainya; tidak boros; cermat"
36,ia mendengarkan pelajaran dengan hemat dan cermat,hemat,penuh minat dan perhatian; (dengan) saksama; teliti
37,"majikan itu sangat kejam, tidak mau menaikkan upah buruhnya barang sedikit juga",kejam,sangat kikir
38,"sungguhpun matanya kejam, ia tidak tidur",kejam,tertutup rapat (tentang mata); pejam
39,perkataannya lemak manis,lemak,sedap; enak
40,lemak penyelar daging,lemak,zat minyak yang melekat pada daging; gemuk
41,berbagai macam pengaruh negatif dapat disebabkan oleh sejarah politik,negatif,kurang baik; menyimpang dari ukuran umum
42,kabel positif jangan langsung kau hubungkan dengan kabel negatif,negatif,kabel yang aliran listriknya berpotensi lebih rendah
43,pupus sudah harapannya selama ini,pupus,habis sama sekali; hilang lenyap; punah
44,pupus daun pisang tersebut terjatuh,pupus,pucuk yang masih muda; daun muda
45,surat tersebut dikirim melalui kantor pos,pos,"kantor tempat kirim-mengirim surat, uang, dan sebagainya; kantor pos"
46,pos tentara militer tepat berada di depan,pos,"tempat penjagaan (tentara, polisi, pengamat gunung berapi, dan sebagainya)"
47,di negara yang rusuh itu sering timbul pemberontakan,rusuh,kacau; ribut; gaduh; huru-hara
48,"pada babak pertama, kedua kesebelasan masih bermain sama kuat",babak,bagian permainan yang waktunya tertentu; ronde
49,roni babak belur dihajar oleh lawannya,babak,lecet (tentang kulit)
50,Ular kobra memiliki bisa yang sangat berbahaya dan mematikan,bisa,"zat racun yang dapat menyebabkan luka, busuk, atau mati bagi sesuatu yang hidup (biasanya terdapat pada binatang)"
51,Dia bisa membaca tapi tidak dengan menulis,bisa,mampu (kuasa melakukan sesuatu); dapat
52,buah apel sangat kaya akan vitamin C,apel,buah apel
53,apabila tidak puas dengan putusan pengadilan negeri boleh minta apel kepada pengadilan tinggi,apel,naik banding kepada pengadilan yang lebih tinggi; permohonan pemeriksaan ulang pada pengadilan tingkat kedua (pengadilan tinggi) terhadap keputusan pengadilan tingkat pertama (pengadilan negeri)
54,amanat apel pagi dibacakan oleh pemimpin apel,apel,upacara
55,Genting rumahku rusak akibat angin puting beliung kemarin malam,genting,"tutup atap rumah yang terbuat dari tanah liat yang dicetak dan dibakar, bermacam-macam bentuknya"
56,"setelah perundingan menemui jalan buntu, keadaan bertambah genting",genting,tegang; berbahaya (tentang keadaan yang mungkin segera menimbulkan bencana perang dan sebagainya)
57,dia merasakan sesak akibat asma yang dideritanya,asma,"gangguan pernapasan yang sering bersifat alergis, ditandai dengan sulit bernapas dan rasa sesak dalam dada; penyakit sesak napas; bengek"
58,kami berbuat baik terhadap siapapun semata-mata untuk meluhurkan asma Tuhan,asma,nama (bagi Tuhan)
59,semua orang heran bahwa istrinya dapat bersikap baik pada madunya,madu,istri sah yang lain dari seorang suami berdasarkan pandangan istri pertamanya
60,sarang lebah ini jika diperas mengeluarkan madu,madu,cairan yang banyak mengandung zat gula pada sarang lebah atau bunga (rasanya manis)
61,tamu itu gondok karena diperlakukan tidak sewajarnya,gondok,mendongkol; marah yang tertahan
62,gondok merupakan penyakit pembengkakan pada leher,gondok,penyakit bengkak pada leher depan karena kelenjar yang menjadi besar; beguk
63,Para pihak yang merasa terancam karena tindakan pembajakan harus segera melaporkan hal tersebut kepada pihak berwajib,bajak,"ambil alih secara paksa, disertai ancaman (tentang pesawat dan sebagainya)"
64,Petani harus membajak sawah sebelum menanam padi,bajak,perkakas pertanian yang terbuat dari kayu atau besi untuk menggemburkan dan membalikkan tanah; luku; tenggala
65,Saya telah berbicara dengan ahli waris keluarga itu tentang penyelesaian warisan,ahli,keluarga atau kaum
66,dia seorang yang ahli menjalankan mesin itu,ahli,mahir benar; sangat mendalam dalam suatu ilmu
67,tiang itu rusak dimakan bubuk,bubuk,"binatang kecil yang berkulit keras, berupa kumbang yang suka makan kayu, balok, beras, dan sebagainya"
68,bubuk kopi tersebut adalah yang paling hitam dan halus,bubuk,barang yang ditumbuk menjadi tepung halus
69,sabun yang baik banyak mengandung busa,busa,gelembung-gelembung putih kecil-kecil (seperti pada sabun dan sebagainya); buih
70,Pilihan kasur dengan lapisan busa memastikan tidur Anda lebih empuk dan nyaman,busa,"karet gembus dan empuk, biasanya untuk isi jok atau kasur"
71,"Dasar bodoh, tidakkah kau mengerti betapa berbahayanya tindakanmu?",dasar,memang
72,Buah apel batu sangat segar jika dijus,apel,buah apel
73,Apel kebangsaan pagi di lapangan tersebut dihadiri seluruh pns kota malang,apel,upacara
74,Tahu asli kediri sangat gemar dijadikan oleh oleh khas,tahu,"makanan dari kedelai putih yang digiling halus-halus, direbus, dan dicetak"
75,Dia tahu sifat asli temannya yang dikira jahat tersebut,tahu,"mengerti sesudah melihat (menyaksikan, mengalami, dan sebagainya)"
76,toilet untuk kaum hawa pada tahap perbaikan,hawa,(ditulis dengan huruf kecil) perempuan
77,hawa pada pagi hari ini terasa sejuk sekali,hawa,"keadaan udara (bukan suhu, cuaca, dan lain-lain)"
78,gunakan jangka sebagai alat bantu untuk membuat lingkaran,jangka,"alat untuk membuat bulatan (lingkaran, mengukur jarak pada peta, dan sebagainya), berupa benda yang berkaki dua yang dapat dilebarkan dan disempitkan langkahnya atau ukurannya"
79,menuju teras rumah hanya butuh beberapa langkah dari pintu,teras,tanah atau lantai yang agak tinggi di depan rumah
80,udara malam ini tidak begitu dingin,malam,waktu setelah matahari terbenam hingga matahari terbit
81,bunga di pagi hari dibasahi oleh embun pagi,bunga,"bagian tumbuhan yang akan menjadi buah, biasanya elok warnanya dan harum baunya; kembang"
82,dia rela dimadu oleh suaminya,madu,istri sah yang lain dari seorang suami berdasarkan pandangan istri pertamanya
83,setiap balita punya hak untuk imunisasi,hak,kewenangan
84,jangan menggunakan sepatu hak tinggi dalam prosesi wisuda,hak,telapak sepatu pada bagian tumit yang relatif tinggi
85,martabak asal kota malang memiliki cita rasa yang nikmat,asal,"keadaan (tempat, wujud, rupa, dan sebagainya) yang semula; pangkal permulaan"
86,babak pertama kontes take me out dimenangkan oleh effendy,babak,"bagian dari suatu keseluruhan proses, kejadian, atau peristiwa"
87,risqi aris babak belur dihajar oleh tetangganya,babak,lecet (tentang kulit)
88,Selai rasa apel memang paling banyak disukai anak-anak,apel,buah apel
89,Tahu makanan kesukaanku,tahu,"makanan dari kedelai putih yang digiling halus-halus, direbus, dan dicetak"
90,Istri mana yang mau dimadu,madu,istri sah yang lain dari seorang suami berdasarkan pandangan istri pertamanya
91,"Setiap tahun, ani menerima bunga 5 persen dari bank",bunga,"imbalan jasa untuk penggunaan uang atau modal yang dibayar pada waktu tertentu berdasarkan ketentuan atau kesepakatan, umumnya dinyatakan sebagai persentase dari modal pokok"
92,Bunga mawar di taman tampak layu,bunga,jenis untuk berbagai-bagai bunga
93,Madu mempunyai banyak manfaat untuk kesehatan tubuh,madu,cairan yang banyak mengandung zat gula pada sarang lebah atau bunga (rasanya manis)
94,Umumnya semua istri tidak akan pernah mau dimadu,madu,istri sah yang lain dari seorang suami berdasarkan pandangan istri pertamanya
95,"Saat kau ingin rumahmu terang alami, pakailah genting kaca di bagian tertentu atap rumahmu",genting,"tutup atap rumah yang terbuat dari tanah liat yang dicetak dan dibakar, bermacam-macam bentuknya"
96,Keadaan bertambah genting mendengar kabar ani diculik,genting,tegang; berbahaya (tentang keadaan yang mungkin segera menimbulkan bencana perang dan sebagainya)
97,Langkah yang diambil harus dapat dipertanggungjawabkan dan sesuai dengan aturan yang berlaku,langkah,sikap; tindak-tanduk; perbuatan
98,"Seiring bertambahnya umur, langkah kaki seseorang dapat menjadi semakin lambat ketika berjalan",langkah,"gerakan kaki (ke depan, ke belakang, ke kiri, ke kanan) waktu berjalan"
99,Halaman yang indah menjadi idaman setiap orang yang punya rumah,halaman,pekarangan rumah (sekolah dan sebagainya); tanah di sekitar rumah (sekolah dan sebagainya)
100,Bagian HRM mau mengadakan rapat nanti sore untuk membicarakan penghargaan atas kinerja karyawan,rapat,pertemuan (kumpulan) untuk membicarakan sesuatu; sidang; majelis
101,kita dulu berada pada rahim ibu,rahim,"kantong selaput dalam perut, tempat janin (bayi); peranakan; kandungan"
102,tahun 2015 Cassilas hengkang dari real madrid,hengkang,mundur
103,hari senin terjadi baku hantam antar siswa smp di Malang,baku,saling
104,pencuri memasuki rumah dengan memanjat genting,genting,"tutup atap rumah yang terbuat dari tanah liat yang dicetak dan dibakar, bermacam-macam bentuknya"
105,menikmati kopi di halaman depan rumah,halaman,pekarangan rumah (sekolah dan sebagainya); tanah di sekitar rumah (sekolah dan sebagainya)
106,Para guru hadir pagi hari untuk melakukan apel,apel,upacara
107,Apel itu banyak yang busuk,apel,buah apel
108,Kakak selalu bersantai setiap sore di teras rumah,teras,tanah atau lantai yang agak tinggi di depan rumah
109,Bola itu mental ke arah Budi,mental,terpelanting; terpental
110,"paman membawa banyak oleh-oleh makanan, yang paling terkenal adalah tahu sumedang",tahu,"makanan dari kedelai putih yang digiling halus-halus, direbus, dan dicetak"
111,Beberapa kali anak itu dipukuli oleh ayahnya,kali,kata untuk menyatakan kekerapan tindakan
112,Daging ayam itu harus dipotong dadu,dadu,"kubus kecil bersisi enam (biasanya terbuat dari kayu, tulang, gading, atau plastik), pada keenam sisinya diberi mata satu sampai enam yang diatur sedemikian rupa sehingga dua sisi yang saling berhadapan selalu berjumlah tujuh (digunakan dalam permainan, berjudi, dan sebagainya)"
113,Tahu itu bulat seperti bola ping pong,tahu,"makanan dari kedelai putih yang digiling halus-halus, direbus, dan dicetak"
114,sebelum masuk rumah baiknya mengucap salam,salam,ucapan as-salāmu ’alaikum wa raḥmatullāhi wa barakātuh
115,pupus sudah harapanku selama ini,pupus,habis sama sekali; hilang lenyap; punah
116,harga daun di pasar blimbing cukup murah,pasar,tempat orang berjual beli; pekan
117,pencuri itu kabur melarikan diri setelah dipergoki pemilik rumah,kabur,berlari cepat-cepat; melarikan diri
118,mata nenek sudah kabur karena dimakan usia,kabur,tidak dapat melihat sesuatu dengan jelas (tentang mata)
119,sempat terjadi kerusuhan yang sangat mencekam saat tragedi 1998,rusuh,kacau; ribut; gaduh; huru-hara
120,adam adalah manusia laki-laki pertama dimuka bumi,adam,"nabi, rasul, dan nama manusia laki-laki pertama yang diciptakan oleh Tuhan"
121,dia menderita penyakit asma semenjak kecil sehingga dia dianjurkan untuk berenang tiap minggu,asma,"gangguan pernapasan yang sering bersifat alergis, ditandai dengan sulit bernapas dan rasa sesak dalam dada; penyakit sesak napas; bengek"
122,pak budi sangatlah kaya tapi dia orang yang kikir,kikir,terlampau hemat memakai harta bendanya; pelit; lokek; kedekut
123,teman saya mempunyai penyakit asma semenjak lama,asma,"gangguan pernapasan yang sering bersifat alergis, ditandai dengan sulit bernapas dan rasa sesak dalam dada; penyakit sesak napas; bengek"
124,dia adalah orang yang kejam karena memberikan harapan palsu,kejam,tidak menaruh belas kasihan; bengis; zalim
125,setiap hari saya haruslah menyapu halaman,halaman,pekarangan rumah (sekolah dan sebagainya); tanah di sekitar rumah (sekolah dan sebagainya)
126,warga menjadi rusuh akibat haknya tidak terpenuhi,rusuh,kacau; ribut; gaduh; huru-hara
127,Kelelawar mencari makan di malam hari,malam,waktu setelah matahari terbenam hingga matahari terbit
128,Rapat itu dihadiri oleh jajaran KPK beserta Kapolri,rapat,pertemuan (kumpulan) untuk membicarakan sesuatu; sidang; majelis
129,Ibu membeli buah apel di Pasar,apel,buah apel
130,Ratna menanam Bunga Anggrek di depan rumah,bunga,jenis untuk berbagai-bagai bunga
131,dia gondok hingga sangat marah karena dibully teman-temannya,gondok,mendongkol; marah yang tertahan
132,Penyakit gondok adalah kondisi dimana terjadi pembengkakan kelenjar tiroid,gondok,penyakit bengkak pada leher depan karena kelenjar yang menjadi besar; beguk
133,halaman rumah itu sangat luas sekali,halaman,pekarangan rumah (sekolah dan sebagainya); tanah di sekitar rumah (sekolah dan sebagainya)
134,buka halaman 51 dan kerjakan soalnya,halaman,"muka dari lembaran buku (majalah, surat kabar, dan sebagainya); pagina"
135,meski kredit memiliki bunga yang tinggi masih saja orang banyak yang memakai,bunga,"imbalan jasa untuk penggunaan uang atau modal yang dibayar pada waktu tertentu berdasarkan ketentuan atau kesepakatan, umumnya dinyatakan sebagai persentase dari modal pokok"
136,buku habis gelap terbitlah terang merupakan ciptaan dari R.A Kartini,buku,"lembar kertas yang berjilid, berisi tulisan atau kosong; kitab"
137,meskipun berbahaya bisa ular digunakan untuk membuat penawar racun untuk orang yang digigit,bisa,"zat racun yang dapat menyebabkan luka, busuk, atau mati bagi sesuatu yang hidup (biasanya terdapat pada binatang)"
138,dia menjalani opname di rumah sakit akibat kecelakaan tempo hari,opname,perawatan dengan menginap di rumah sakit
139,tumbuhan di indonesia memiliki ragam yang sangat banyak,ragam,macam; jenis
140,Pertandingan sepak bola kemarin menghasilkan skor seri,seri,seimbang; tidak ada yang menang dan tidak ada yang kalah
141,Andi sudah memiliki seri lengkap novel Harry Potter,seri,"rangkaian yang berturut-turut (tentang cerita, buku, peristiwa, dan sebagainya)"
142,paman kehilangan kunci mobilnya di kantor,kunci,alat untuk menghidupkan atau menjalankan mesin (mobil dan sebagainya)
143,Kunci keberhasilan dalam hidup adalah kerja keras dan tekun,kunci,"alat untuk mencapai suatu maksud (seperti membongkar rahasia, memecahkan masalah, menentukan kalah menang, atau berhasil tidaknya sesuatu)"
144,Upacara hari senin akan dibuka oleh sambutan kepala sekolah,kepala,"pemimpin; ketua (kantor, pekerjaan, perkumpulan, dan sebagainya)"
145,kepala adik tertabrak pintu lemari saat ingin mengambil baju,kepala,"bagian tubuh yang di atas leher (pada manusia dan beberapa jenis hewan merupakan tempat otak, pusat jaringan saraf, dan beberapa pusat indra)"
146,Tidak terlihat apapun dalam ruangan itu karena terlalu gelap,dalam,kata depan untuk menandai tempat yang mengandung isi
147,Kesuksesan dapat diperoleh melalui ketekunan dan usaha memahami segalanya secara dalam,dalam,paham benar-benar (tentang ilmu pengetahuan dan sebagainya)
148,Kembangkan sayapmu dan terbanglah tinggi di langit yang biru,kembang,buka lebar; bentang
149,Usaha tersebut semakin berkembang dan berhasil menarik perhatian banyak konsumen,kembang,buka lebar; bentang
150,"Saat mengemudi, pastikan untuk memutar setir ke arah yang benar saat melewati tikungan tajam",memutar,membelokkan hingga arah menjadi berlawanan
151,Saya biasa memutar musik klasik ketika sedang membaca buku agar lebih fokus,memutar,"menyetel atau memasang supaya hidup atau berbunyi (tentang radio, televisi, kaset)"
152,Dia menunjukkan sifat yang dingin dan sulit untuk didekati setiap kali berada di tengah-tengah orang baru,dingin,tidak ramah; kaku (tentang suasana dan sebagainya)
153,"Udara di puncak gunung sangatlah dingin, jadi pastikan kamu membawa jaket tebal saat naik ke sana",dingin,bersuhu rendah apabila dibandingkan dengan suhu tubuh manusia; tidak panas; sejuk
154,Kedatangan tim basket internasional disambut dengan teriakan penonton yang berapi-api,api,"perasaan yang menggelora (tentang cinta, perjuangan); semangat"
155,"Sambil menatap api unggun yang membakar kayu bakar, kami bercerita tentang pengalaman-pengalaman kami selama perjalanan ke hutan belantara",api,panas dan cahaya yang berasal dari sesuatu yang terbakar; nyala
156,Keberuntungan menghujani setiap usaha yang dilakukan dengan sungguh-sungguh dan tekun,hujan,yang datang dan sebagainya banyak-banyak
157,Hujan lebat mengakibatkan banjir di beberapa wilayah kota tadi malam,hujan,titik-titik air yang berjatuhan dari udara karena proses pendinginan
158,Sebidang tanah seluas 2 hektar tersebut milik pemerintah daerah setempat,bidang,"kata penggolong bagi barang-barang yang luas seperti tanah, sawah, ladang"
159,Perusahaan kami sedang mencari tenaga kerja baru di bidang pemasaran,bidang,segi pandangan; aspek
160,"Astronomi adalah ilmu yang mempelajari tentang bintang, planet, dan galaksi di angkasa",bintang,"benda langit yang mampu memancarkan cahaya dan memproduksi energi sendiri, misalnya matahari"
161,"Untuk menghemat ruang, saya seringkali melipat pakaian yang tidak lagi digunakan",lipat,"patah dua sehingga bidangnya menjadi seperdua (tentang kertas, kain, dan sebagainya) | tekuk atau rebahkan sehingga satu bagian menutupi bagian lainnya"
162,Pada era gempuran media sosial seperti saat ini fenomena ketidakamanan insecurity telah merambah pada hampir seluruh kalangan usia termasuk remaja,fenomena,sesuatu yang luar biasa; keajaiban
163,Oleh karena itu topik tentang ketidakamanan ini menjadi menarik untuk ditelusuri akar penyebabnya,topik,hal yang menarik perhatian umum pada waktu akhir-akhir ini; bahan pembicaraan
164,Ketidakamanan yang berkepanjangan akan berakibat fatal dan mengarah pada terganggunya keadaan mental seseorang,arah,tujuan; maksud
165,Seseorang yang mengalami perasaan tidak aman juga akan sangat terganggu dalam konteks produktivitas,rasa,tanggapan hati terhadap sesuatu (indra)
166,Hal tersebut disebabkan fokus seseorang bukan lagi tentang menemukan nilai diri sendiri tetapi cenderung memikirkan standar orang lain,temu,sua; jumpa
167,Salah satu penyebab seseorang merasa tidak aman adalah ketidakmampuan seseorang dalam mencintai diri sendiri self love,sebab,hal yang menjadikan timbulnya sesuatu; lantaran; karena; (asal) mula
168,Ketika seseorang tidak mampu menerima dirinya sendiri ia akan mudah tergerus oleh standar orang lain yang sebenarnya tidak perlu diterapkan pada diri sendiri,mudah,"lekas sekali (menjadi, menderita, dan sebagainya)"
169,Dalam hal ini konsep tentang self love perlu dikenalkan dan dibiasakan sejak anak usia dini sebagai bekal pada masa mendatang,konsep,ide atau pengertian yang diabstrakkan dari peristiwa konkret
170,Anak yang sejak kecil telah mengenal cinta diri sendiri akan tumbuh menjadi anak yang percaya diri mampu mengerti kebutuhan diri dan memiliki kecerdasan dalam berhubungan sosial,butuh,perlu
171,Setidaknya anak akan memiliki tameng sejak dini untuk menangkal segala pengaruh buruk yang dapat menyebabkan ketidakamanan dini pada anak melalui pengenalan cinta diri sendiri,milik,kepunyaan; hak
172,Anak yang mencintai diri dan memiliki persepsi yang baik terhadap dirinya sendiri juga akan dapat mengatasi konflik dengan tenang dan tidak mudah terpengaruh standar orang lain,mudah,"lekas sekali (menjadi, menderita, dan sebagainya)"
173,Hal tersebut disebabkan anak sudah mengenali siapa dirinya apa nilai dan karakteristik dirinya,sebab,oleh karena; terjadi karena; sebagai akibat
174,Selain itu anak juga telah memahami bahwa setiap orang memiliki keunikan yang berbeda sehingga anak akan memandang kekurangan diri adalah hal yang wajar serta kelebihan sebagai hal yang patut dimaksimalkan,beda,sesuatu yang menjadikan berlainan (tidak sama) antara benda yang satu dan benda yang lain; ketidaksamaan
175,Hal penting lainnya terkait pengenalan konsep cinta diri sendiri pada anak adalah mencegah terjadinya gangguan kondisi mental dan emosional pada anak usia dini yang seringkali tidak terdeteksi,mental,"bersangkutan dengan batin dan watak manusia, yang bukan bersifat badan atau tenaga"
176,Salah satu faktor yang memyebabkan gangguan mental dan emosional pada anak adalah lingkungan buruk yang selalu menekankan standar standarnya,mental,"bersangkutan dengan batin dan watak manusia, yang bukan bersifat badan atau tenaga"
177,Selain itu terdapat pula faktor psikogenik berupa hubungan anak dengan teman sebaya dan lingkungan masyarakat yang tidak sehat yang menyebabkan mental dan emosional anak terganggu,faktor,"hal (keadaan, peristiwa) yang ikut menyebabkan (memengaruhi) terjadinya sesuatu"
178,Berdasarkan hal tersebut cinta diri sendiri menjadi amat penting bagi anak usia dini untuk membantu mencegah adanya ancaman tersebut,dasar,"pokok atau pangkal suatu pendapat (ajaran, aturan); asas"
179,Seperti yang telah umum diketahui anak merupakan penyerap segala hal di sekitarnya yang berarti kemampuan otak anak sangat luar biasa dalam menyerap informasi,otak,alat berpikir; pikiran; benak
180,Masa perkembangan anak usia dini akan memengaruhi kepribadian anak ketika ia dewasa,pengaruh,"daya yang ada atau timbul dari sesuatu (orang, benda) yang ikut membentuk watak, kepercayaan, atau perbuatan seseorang"
181,Dalam hal ini buku cerita dapat dijadikan sebagai media dalam mengenalkan cinta diri sendiri pada masa perkembangan anak dan membantu pembentukan kepribadian anak,buku,"lembar kertas yang berjilid, berisi tulisan atau kosong; kitab"
182,Anak usia dini dekat dengan cerita fiksi yang penuh imajinasi seperti yang ada dalam buku cerita karena hal tersebut mampu meningkatkan minat dan ketertarikan anak tentang suatu hal,fiksi,"cerita rekaan (roman, novel, dan sebagainya)"
